EQ_id|Name|Eqn|Short_Desc|Variables|EQ_CAT|WIKI_LINK
37|Linear Momentum|p = m * v|In Newtonian mechanics, linear momentum, translational momentum, or simply momentum is the product of the mass and velocity of an object.|['p', 'm', 'v']|Dynamics|https://en.wikipedia.org/wiki/Momentum
44|Equation of Motion distance|S = s0 + v0 * t + 1 / 2 * a * t ^ 2|Equation of motion to solve for distance under constant acceleration|['S', 's0', 'v0', 't', 'a']|Dynamics|https://en.wikipedia.org/wiki/Equations_of_motion
45|Capacitance|C = q / V|Capacitance is the ratio of the amount of electric charge stored on a conductor to a difference in electric potential.|['C', 'q', 'V']|Electricity|https://en.wikipedia.org/wiki/Capacitance#:~:text=Capacitance%20is%20the%20ratio%20of,electrically%20charged%20exhibits%20self%20capacitance.
46|Newtons Second Law|F = m * a|Newton's second law describes a simple relationship between the acceleration of an object with mass m, and the net force Fnet acting on that object|['F', 'm', 'a']|Dynamics|https://en.wikipedia.org/wiki/Newton%27s_laws_of_motion
47|Rotational Power|P = τ * ω|In rotational systems, power is the product of the torque τ and angular velocity ω.|['P', 'τ', 'ω']|Dynamics|https://en.wikipedia.org/wiki/Power_(physics)#Mechanical_power
48|Friction Force|F = u * N|The Coulomb friction {\displaystyle F_{\mathrm {f} }\,}F_{\mathrm {f} }\, may take any value from zero up to {\displaystyle \mu F_{\mathrm {n} }\,}\mu F_{\mathrm {n} }\,, and the direction of the frictional force against a surface is opposite to the motion that surface would experience in the absence of friction.|['F', 'u', 'N']|Dynamics|https://en.wikipedia.org/wiki/Friction
49|Lift Force|L = 1 / 2 * ρ * v ^ 2 * S * Cl|A fluid flowing around an object exerts a force on it. Lift is the component of this force that is perpendicular to the oncoming flow direction.|['L', 'ρ', 'v', 'S', 'Cl']|Fluids|https://en.wikipedia.org/wiki/Lift_(force)#Quantifying_lift
50|Electric Power|P = V ^ 2 / r|Electric power is the rate, per unit time, at which electrical energy is transferred by an electric circuit.|['P', 'V', 'r']|Electricity|https://en.wikipedia.org/wiki/Electric_power
51|Angular Acceleration|a = r * α|In physics, angular acceleration refers to the time rate of change of angular velocity.|['a', 'r', 'α']|Dynamics|https://en.wikipedia.org/wiki/Angular_acceleration
52|Angular Velocity|v = r * ω|A measure of how fast an object rotates around another point.|['v', 'r', 'ω']|Dynamics|https://en.wikipedia.org/wiki/Angular_velocity
53|Angular Momentum|L = I * ω|In physics, angular momentum (rarely, moment of momentum or rotational momentum) is the rotational analog of linear momentum.|['L', 'I', 'ω']|Dynamics|https://en.wikipedia.org/wiki/Angular_momentum
54|Quadratic Formula|x = -1 * b + ( b ^ 2 - 4 * a * c ) ^ .5 / ( 2 * a )|In elementary algebra, the quadratic formula is a formula that provides the solution(s) to a quadratic equation.|['x', 'b', 'a', 'c']|Geometry|https://en.wikipedia.org/wiki/Quadratic_formula
55|Volumetric Flowrate|Q = v * A|In physics and engineering, in particular fluid dynamics, the volumetric flow rate (also known as volume flow rate, rate of fluid flow, or volume velocity) is the volume of fluid which passes per unit time|['Q', 'v', 'A']|Fluids|https://en.wikipedia.org/wiki/Volumetric_flow_rate
56|Specific Heat Capacity|Q = m * Cp * dT|Used to find the thermal energy of a process.|['Q', 'm', 'Cp', 'dT']|Thermodynamics|https://en.wikipedia.org/wiki/Specific_heat_capacity
57|Thermal Resistance|Ro = x / ( A * k )|Thermal resistance is a heat property and a measurement of a temperature difference by which an object or material resists a heat flow. Thermal resistance is the reciprocal of thermal conductance.|['Ro', 'x', 'A', 'k']|Fluids|https://en.wikipedia.org/wiki/Thermal_resistance
58|Combined Gas Law|P1 * V1 / T1 = P2 * V2 / T2|Combining the laws of Charles, Boyle and Gay-Lussac gives the combined gas law, which takes the same functional form as the ideal gas law save that the number of moles is unspecified, and the ratio of PV to T is simply taken as a constant:|['P1', 'V1', 'T1', 'P2', 'V2', 'T2']|Fluids|https://en.wikipedia.org/wiki/Ideal_gas_law#Combined_gas_law
59|Cuolumbs Law|F = k * q1 * q2 / r ^ 2|Coulomb's inverse-square law, or simply Coulomb's law, is an experimental law of physics that quantifies the amount of force between two stationary, electrically charged particles. The electric force between charged bodies at rest is conventionally called electrostatic force or Coulomb force.|['F', 'k', 'q1', 'q2', 'r']|Electricity|https://en.wikipedia.org/wiki/Coulomb%27s_law
60|Equivalent Resistance|1 / R1 + 1 / R2 = 1 / Req|Equivalent resistance of two resistors in parallel.|['R1', 'R2', 'Req']|Electricity|https://en.wikipedia.org/wiki/Series_and_parallel_circuits
61|Torque|T = r * F|Torque is referred to as the rotational equivalent of force.|['T', 'r', 'F']|Dynamics|https://en.wikipedia.org/wiki/Torque
62|Mass flow equation|ṁ = ρ * v * a|In physics and engineering, mass flow rate is the mass of a substance which passes per unit of time.|['ṁ', 'ρ', 'v', 'a']|Fluids|https://en.wikipedia.org/wiki/Mass_flow_rate
63|Pressure Volume Work|W = P * ΔV|Work done by a system undergoing a constant pressure volume change.|['W', 'P', 'ΔV']|Thermodynamics|https://en.wikipedia.org/wiki/Work_(thermodynamics)
64|Entropy Production|Q = T * ΔS|Entropy Production|['Q', 'T', 'ΔS']|Thermodynamics|https://en.wikipedia.org/wiki/Entropy_production
65|Pythagorean theorem|a ^ 2 + b ^ 2 = c ^ 2|The Pythagorean theorem is a fundamental relation in Euclidean geometry among the three sides of a right triangle.|['a', 'b', 'c']|Geometry|https://en.wikipedia.org/wiki/Pythagorean_theorem
66|Heat transfer coefficient|Q = h * A * ΔT|It is used in calculating the heat transfer, typically by convection or phase transition between a fluid and a solid.|['Q', 'h', 'A', 'ΔT']|Thermodynamics|https://en.wikipedia.org/wiki/Heat_transfer_coefficient
67|Future value|FV = PV * ( 1 + r ) ^ n|Future value is the value of an asset at a specific date. It measures the nominal future sum of money that a given sum of money is worth at a specified time in the future assuming a certain interest rate. It is the present value multiplied by the accumulation function.|['FV', 'PV', 'r', 'n']|Finance|https://en.wikipedia.org/wiki/Future_value#
68|Hagen-Poiseuille|ΔP = 8 * π * μ * L * Q / A ^ 2|In nonideal fluid dynamics, the Hagen–Poiseuille equation, also known as the Hagen–Poiseuille law, Poiseuille law or Poiseuille equation, is a physical law that gives the pressure drop in an incompressible and Newtonian fluid in laminar flow flowing through a long cylindrical pipe of constant cross section|['ΔP', 'π', 'μ', 'L', 'Q', 'A']|Fluids|https://en.wikipedia.org/wiki/Hagen%E2%80%93Poiseuille_equation
69|Beam Bending End Loaded Cantilever|Δ = F * L ^ 3 / ( 3 * E * I )|Elastic deflection from a point load at end of a cantilevered beam.|['Δ', 'F', 'L', 'E', 'I']|Civil|https://en.wikipedia.org/wiki/Deflection_(engineering)
70|Inductance Formula|L = u * N ^ 2 * A / l|Inductance is a property of an electrical conductor that causes it to resist changes in the electric current passing through it. The flow of electric current generates a magnetic field around a conductor.|['L', 'u', 'N', 'A', 'l']|Electricity|https://www.geeksforgeeks.org/inductance-formula/
71|Parallel Resistances|Rtotal = R / N|Total resistance for N number of resistances in parallel|['Rtotal', 'R', 'N']|Electricity|https://en.wikipedia.org/wiki/Series_and_parallel_circuits#Resistance_units_2
